productType,type,language,state,client,borrowerFname,borrowerLname,address,borrowerEmail,coboFname,coboLname,coboAddress,coboState,coboEmail,salesRepEmail,partnerEmail,bucket,key
Solar,combined,english,CA,testSolarSingleMilestone,testSolarSingleMilestone-PB-CA-EN,Test,13 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-CA-EN,Test,1 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,english,CA,SunRun,SunRun-PB-CA-EN,Test,14 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-CA-EN,Test,2 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,english,AZ,testSolarSingleMilestone,testSolarSingleMilestone-PB-AZ-EN,Test,15 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-AZ-EN,Test,3 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,english,AZ,SunRun,SunRun-PB-AZ-EN,Test,16 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-AZ-EN,Test,4 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,english,NY,testSolarSingleMilestone,testSolarSingleMilestone-PB-NY-EN,Test,17 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-NY-EN,Test,5 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,english,NY,SunRun,SunRun-PB-NY-EN,Test,18 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-NY-EN,Test,6 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,CA,testSolarSingleMilestone,testSolarSingleMilestone-PB-CA-SP,Test,19 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-CA-SP,Test,7 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,CA,SunRun,SunRun-PB-CA-SP,Test,20 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-CA-SP,Test,8 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,AZ,testSolarSingleMilestone,testSolarSingleMilestone-PB-AZ-SP,Test,21 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-AZ-SP,Test,9 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,AZ,SunRun,SunRun-PB-AZ-SP,Test,22 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-AZ-SP,Test,10 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,NY,testSolarSingleMilestone,testSolarSingleMilestone-PB-NY-SP,Test,23 test street,borrower-automation@testmail.loanpal.com,testSolarSingleMilestone-CB-NY-SP,Test,11 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
Solar,combined,spanish,NY,SunRun,SunRun-PB-NY-SP,Test,24 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-NY-SP,Test,12 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com,test-core.loanpal.com,equifax-test-mocks/Solar/Co-borrower Application/JointHighScoreNoStips
