product,type,language,state,client,borrower fname,borrower lname,address,borrower email,cobo fname,cobo lname,cobo address,cobo state,cobo email,sales rep email,partner email
solar,single,english,CA,eeTest,eeTest-SB-CA-EN,Test,1 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,english,CA,SunRun,SunRun-SB-CA-EN,Test,2 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,english,AZ,eeTest,eeTest-SB-AZ-EN,Test,3 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,english,AZ,SunRun,SunRun-SB-AZ-EN,Test,4 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,english,NY,eeTest,eeTest-SB-NY-EN,Test,5 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,english,NY,SunRun,SunRun-SB-NY-EN,Test,6 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,CA,eeTest,eeTest-SB-CA-SP,Test,7 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,CA,SunRun,SunRun-SB-CA-SP,Test,8 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,AZ,eeTest,eeTest-SB-AZ-SP,Test,9 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,AZ,SunRun,SunRun-SB-AZ-SP,Test,10 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,NY,eeTest,eeTest-SB-NY-SP,Test,11 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,single,spanish,NY,SunRun,SunRun-SB-NY-SP,Test,12 test street,borrower-automation@testmail.loanpal.com,,,,,,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,english,CA,eeTest,eeTest-PB-CA-EN,Test,13 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-CA-EN,Test,1 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,english,CA,SunRun,SunRun-PB-CA-EN,Test,14 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-CA-EN,Test,2 test street,CA,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,english,AZ,eeTest,eeTest-PB-AZ-EN,Test,15 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-AZ-EN,Test,3 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,english,AZ,SunRun,SunRun-PB-AZ-EN,Test,16 test street,borrower-automation@testmail.loanpal.com,SunRun-CB-AZ-EN,Test,4 test street,AZ,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
solar,combined,english,NY,eeTest,eeTest-PB-NY-EN,Test,17 test street,borrower-automation@testmail.loanpal.com,eeTest-CB-NY-EN,Test,5 test street,NY,co-borrower-automation@testmail.loanpal.com,salesrep-automation@testmail.loanpal.com,partner-automation@loanpal.com
