scenario,stips,mock,type,partner,url,firstName,lastName,addressStreet,addressCity,addressState,addressZip,dateOfBirth,mobilePhone,homePhone,ssn,email,employmentStatus,annualIncome,citizenship,language,coFirstName,coLastName,coAddressStreet,coAddressCity,coAddressState,coAddressZip,coDateOfBirth,coMobilePhone,coHomePhone,coSSN,coEmail,coEmploymentStatus,coAnnualIncome,coCitizenship,srFirstName,srLastName,srEmail,srMobilePhone,srCompanyName,loanTerm,systemCost,referenceNumber,status,hasDeferredStips,approvedButton,nonDeferredMessage,hasNonDeferredStips,responseBody
Combined loan with Deferred stips,ID/Fraud-Alert Contact,equifax-test-mocks/Solar/stips/combined/ID-Fraud-Alert-Contact.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-14-000135"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjQifQ.eyJzdWIiOiIyMC0xNC0wMDAxMzUiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjI5LCJleHAiOjE1ODU0MTQ2Mjl9.8avyqgZU8DAb3Erz2jqQWaIS9-RyR4wJu3tzUM1ta68"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjgifQ.eyJzdWIiOiIyMC0xNC0wMDAxMzUiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2MjksImV4cCI6MTU4NTQxNDYyOX0.tMF2Rta8LYo_eOmpth-qkkpOW6A5E5QYoainhZmZccU"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjMifQ.eyJzdWIiOiIyMC0xNC0wMDAxMzUiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjI5LCJleHAiOjE1ODU0MTQ2Mjl9.10ua2czIlyZdUFQGpRM87z0W-h_y0dANWB2FGnYzY7I""
}"
Combined loan with Deferred stips,ID/Fraud-Consumer Statement,equifax-test-mocks/Solar/stips/combined/ID-Fraud-Consumer-Statement.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-14-000136"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjUifQ.eyJzdWIiOiIyMC0xNC0wMDAxMzYiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjMxLCJleHAiOjE1ODU0MTQ2MzF9.CkSfxHV_We7WVEJZJVU-z_nIS0Be7ULdrFQh8kQ00GA""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-Consumer Statement,ID/Fraud-Alert Contact",equifax-test-mocks/Solar/stips/combined/ID-Fraud-Consumer-Statement_AND_ID-Fraud-Alert-Contact.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-03-000112"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjMifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTIiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjMzLCJleHAiOjE1ODU0MTQ2MzN9.OtE7xQMaSK8KMfuE4ixmQUKsTrkqv9HeKsllAO6vA0I"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjQifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTIiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2MzMsImV4cCI6MTU4NTQxNDYzM30.SKsxQ_Z6XVyF-wPk7lU296rjTmbywazhkbZgxmU4830"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjMifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTIiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjMzLCJleHAiOjE1ODU0MTQ2MzN9.g35gfZcHOu82KHOBulZNwYP2omMdaXtOaLutzxeI3_s""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-Consumer Statement,ID/Fraud-Fraudulent Inquiry",equifax-test-mocks/Solar/stips/combined/ID-Fraud-Consumer-Statement_AND_ID-Fraud-Fraudulent-Inquiry.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-02-000148"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjgifQ.eyJzdWIiOiIyMC0wMi0wMDAxNDgiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjM1LCJleHAiOjE1ODU0MTQ2MzV9.3cIozIKPtWI4f7Xi5RnjnG1_02bvhXn78CrGHK2nQ5Q"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjUifQ.eyJzdWIiOiIyMC0wMi0wMDAxNDgiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2MzUsImV4cCI6MTU4NTQxNDYzNX0.iFikIRbHGmHKIzjR-8dHnoKTO9N23nusrsS9S_4uRlg"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0wMi0wMDAxNDgiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjM1LCJleHAiOjE1ODU0MTQ2MzV9.vgQhypyNKtUW2yVF0qbJCAjXzkqX_axF1FwE-IihfmI""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-Consumer Statement,ID/Fraud-Fraud Victim Indicator",equifax-test-mocks/Solar/stips/combined/ID-Fraud-Consumer-Statement_AND_ID-Fraud_Fraud-Victim-Indicator.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-03-000113"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjMifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTMiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjM3LCJleHAiOjE1ODU0MTQ2Mzd9.BH_BPkuTGVW1C31o_GbyE-9HfeuF6AHuFHS9wojzGDA"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTMiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2MzcsImV4cCI6MTU4NTQxNDYzN30.feJegH9uBZ_QX132XmuK1754BV_RQhRPnSPWICAZ1nI"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0wMy0wMDAxMTMiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjM3LCJleHAiOjE1ODU0MTQ2Mzd9.nGVot0vWhSp3Ha0KgmclMZoAzfDI6XPhj7I51gkLyfU""
}"
Combined loan with Deferred stips,ID/Fraud-eID Error,equifax-test-mocks/Solar/stips/combined/ID-Fraud-eID-Error.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-01-000127"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjkifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjciLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjM5LCJleHAiOjE1ODU0MTQ2Mzl9.XkrY1G0WDIQMYT8qdYqmUPpk8HuyhnxRFBuP6QSZ70c"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjcifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjciLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2MzksImV4cCI6MTU4NTQxNDYzOX0.GCrt2Tb2jO0e_QUp_BHKGHXFbe2jPNg4AzDmPo8Wu9Q"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjgifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjciLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjM5LCJleHAiOjE1ODU0MTQ2Mzl9.Es5ErVpEHd41yUPVYqwK-3LNbYRmm44zIZscc_-q-X4""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-eID Error,ID/Fraud-Alert Contact",equifax-test-mocks/Solar/stips/combined/ID-Fraud-eID-Error_AND_ID-Fraud-Alert-Contact.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-01-000128"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjQifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjgiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjQyLCJleHAiOjE1ODU0MTQ2NDJ9.1slWcjgklb1OZZ2hHPNZuCMoW9JMnBJmdPyHXdbtujQ"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjgifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjgiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2NDIsImV4cCI6MTU4NTQxNDY0Mn0.RRBxzBLYsxJ1FdmxtVglUks6k2jvfNzo5fObPkRyk_c"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjYifQ.eyJzdWIiOiIyMC0wMS0wMDAxMjgiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjQyLCJleHAiOjE1ODU0MTQ2NDJ9.zK0wyL1ep_t71bfAxRu_7VffnWpcprJs9dC9e5usKNc""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-eID Error,ID/Fraud-Consumer Statement",equifax-test-mocks/Solar/stips/combined/ID-Fraud-eID-Error_AND_ID-Fraud-Consumer-Statement.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-10-000129"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0xMC0wMDAxMjkiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjQ1LCJleHAiOjE1ODU0MTQ2NDV9.gsfCocQI17mNqqKWkPZFPJc9uPifEcgdTl4suHBa_rc"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjYifQ.eyJzdWIiOiIyMC0xMC0wMDAxMjkiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2NDUsImV4cCI6MTU4NTQxNDY0NX0.-UracJiFUhDWzrIyqCebecwksO_uhiZztmDMlXRKgJw"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjYifQ.eyJzdWIiOiIyMC0xMC0wMDAxMjkiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjQ1LCJleHAiOjE1ODU0MTQ2NDV9.xFsR20bLMxfSsfQ4hYW7HvCGkKjrgTncCy9-tzmpewA""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-eID Error,ID/Fraud-Fraudulent Inquiry",equifax-test-mocks/Solar/stips/combined/ID-Fraud-eID-Error_AND_ID-Fraud-Fraudulent-Inquiry.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-11-000120"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjkifQ.eyJzdWIiOiIyMC0xMS0wMDAxMjAiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjQ3LCJleHAiOjE1ODU0MTQ2NDd9.pAcvpuHvFJzi7fVabZuibDjSbh7zMvVZhruteFKileA"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0xMS0wMDAxMjAiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2NDcsImV4cCI6MTU4NTQxNDY0N30.Ba285Fk_NZa-Omq8OOQ3xVDb7TCC9EOQa7vJH112cMg"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjkifQ.eyJzdWIiOiIyMC0xMS0wMDAxMjAiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjQ3LCJleHAiOjE1ODU0MTQ2NDd9.XFCAI6zFc1Mew3-kpz2-apVcM8PllK_eO1Gjgbxmkvg""
}"
Combined loan with multiple Deferred stips,"ID/Fraud-eID Error,ID/Fraud-Fraud Victim Indicator",equifax-test-mocks/Solar/stips/combined/ID-Fraud-eID-Error_AND_ID-Fraud_Fraud-Victim-Indicator.json,Combined,1stLight,solar/1stlight/1stlight.html,VIRGINIA,FRANK,1251 RAINTREE NE,ARAB,AL,35016,1987-06-25,91623452345,91623452345,666072358,ngonzalez@loanpal.com,Employed,100000,us,,MARY,BOLT,,,,,,,,666320691,,,,,Nick,Gonzalez,ngonzalez@loanpal.com,9163453456,Loanpal,,30000,deleteMe,Approved,TRUE,disabled,,,"{
  ""loanId"": ""20-10-000130"",
  ""referenceNumber"": ""automated-run"",
  ""type"": ""Combined"",
  ""status"": ""Approved"",
  ""maxLoanAmount"": ""100000"",
  ""loanOptions"": {
    ""term"": ""10"",
    ""id"": ""1"",
    ""rate"": ""3.99"",
    ""programFee"": 14.25
  },
  ""totalSystemCost"": ""$23,000.00"",
  ""isSub650"": false,
  ""availableNextSteps"": [
    ""GET_DOCS"",
    ""UPLOAD_PRIMARY"",
    ""UPLOAD_SECONDARY"",
    ""WAIT_CALL_PRIMARY"",
    ""WAIT_CALL_SECONDARY""
  ],
  ""primaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjYifQ.eyJzdWIiOiIyMC0xMC0wMDAxMzAiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJQcmltYXJ5IiwiaWF0IjoxNTgyODIyNjQ5LCJleHAiOjE1ODU0MTQ2NDl9.ChkE0bZYPXT4EaEvp-ucVd0WxCYDrFBjDtP2m9SJ2WE"",
  ""secondaryToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjIifQ.eyJzdWIiOiIyMC0xMC0wMDAxMzAiLCJleHBpcmVzSW4iOjMwMCwiYm9ycm93ZXIiOiJTZWNvbmRhcnkiLCJpYXQiOjE1ODI4MjI2NDksImV4cCI6MTU4NTQxNDY0OX0.6UqwFcW9os47U17xKM6PMx0wNuSXElnk0W4rkc6teFw"",
  ""docToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IjEifQ.eyJzdWIiOiIyMC0xMC0wMDAxMzAiLCJleHBpcmVzSW4iOjMwMCwiaWF0IjoxNTgyODIyNjQ5LCJleHAiOjE1ODU0MTQ2NDl9.FwkNgZ3ZIo-iJM61ZHDyuiCCRk82bIMcvuWqzsSvTv8""
}"
